2026-01-27 22:54:45 | INFO     | run_pipeline.py:92 | [CMD] /home/arkapravodas/miniconda3/envs/env-ai4bharat/bin/python /mnt/e/D_Folder/IIT Madras AI4Bharat - GitHub/submission/code/benchmarking/compare_backends.py (cwd=None)
2026-01-27 22:54:46 | INFO     | run_pipeline.py:111 | [CMD] finished (rc=0) in 1.62s
2026-01-27 22:54:46 | INFO     | run_pipeline.py:92 | [CMD] /home/arkapravodas/miniconda3/envs/env-ai4bharat/bin/python /mnt/e/D_Folder/IIT Madras AI4Bharat - GitHub/submission/code/benchmarking/compare_ops.py (cwd=None)
2026-01-27 22:54:47 | INFO     | run_pipeline.py:111 | [CMD] finished (rc=1) in 0.95s
2026-01-27 22:54:47 | INFO     | run_pipeline.py:92 | [CMD] /home/arkapravodas/miniconda3/envs/env-ai4bharat/bin/python /mnt/e/D_Folder/IIT Madras AI4Bharat - GitHub/submission/code/triton/triton_check.py (cwd=None)
2026-01-27 22:54:48 | INFO     | run_pipeline.py:111 | [CMD] finished (rc=1) in 0.47s
2026-01-28 06:50:48 | INFO     | run_pipeline.py:72 | Pipeline started
2026-01-28 06:50:48 | WARNING  | run_pipeline.py:73 | This is a warning
2026-01-28 06:50:48 | ERROR    | run_pipeline.py:74 | Something went wrong
2026-01-28 06:52:05 | INFO     | run_pipeline.py:72 | Pipeline started
2026-01-28 06:52:05 | WARNING  | run_pipeline.py:73 | This is a warning
2026-01-28 06:52:05 | ERROR    | run_pipeline.py:74 | Something went wrong
2026-01-28 06:52:29 | INFO     | run_pipeline.py:72 | Pipeline started
2026-01-28 06:52:29 | WARNING  | run_pipeline.py:73 | This is a warning
2026-01-28 06:52:29 | ERROR    | run_pipeline.py:74 | Something went wrong
2026-01-28 06:52:29 | INFO     | run_pipeline.py:92 | [CMD] /home/arkapravodas/miniconda3/envs/env-ai4bharat/bin/python /mnt/e/D_Folder/IIT Madras AI4Bharat - GitHub/submission/code/profiling/pytorch_profiler.py (cwd=None)
2026-01-28 06:53:06 | INFO     | run_pipeline.py:111 | [CMD] finished (rc=0) in 36.68s
2026-01-28 06:53:06 | INFO     | run_pipeline.py:92 | [CMD] /home/arkapravodas/miniconda3/envs/env-ai4bharat/bin/python /mnt/e/D_Folder/IIT Madras AI4Bharat - GitHub/submission/code/onnx_export/export_to_onnx.py (cwd=None)
2026-01-28 06:53:16 | INFO     | run_pipeline.py:111 | [CMD] finished (rc=1) in 10.47s
